Dia,Hora de início,Impressões
Domingo,00,8.838
Domingo,01,7.340
Domingo,02,4.980
Domingo,03,3.501
Domingo,04,2.398
Domingo,05,2.764
Domingo,06,4.458
Domingo,07,7.569
Domingo,08,10.762
Domingo,09,13.554
Domingo,10,16.559
Domingo,11,18.325
Domingo,12,18.856
Domingo,13,19.177
Domingo,14,18.467
Domingo,15,17.872
Domingo,16,17.239
Domingo,17,16.510
Domingo,18,14.102
Domingo,19,11.266
Domingo,20,10.001
Domingo,21,9.294
Domingo,22,6.631
Domingo,23,4.273
Segunda-feira,00,5.894
Segunda-feira,01,4.189
Segunda-feira,02,2.573
Segunda-feira,03,1.757
Segunda-feira,04,1.778
Segunda-feira,05,3.367
Segunda-feira,06,6.037
Segunda-feira,07,10.216
Segunda-feira,08,14.158
Segunda-feira,09,18.111
Segunda-feira,10,19.955
Segunda-feira,11,19.851
Segunda-feira,12,19.292
Segunda-feira,13,18.664
Segunda-feira,14,18.882
Segunda-feira,15,18.845
Segunda-feira,16,18.373
Segunda-feira,17,15.350
Segunda-feira,18,14.136
Segunda-feira,19,13.743
Segunda-feira,20,12.678
Segunda-feira,21,9.738
Segunda-feira,22,6.619
Segunda-feira,23,5.603
Terça-feira,00,5.744
Terça-feira,01,3.713
Terça-feira,02,2.496
Terça-feira,03,1.939
Terça-feira,04,2.016
Terça-feira,05,5.598
Terça-feira,06,7.905
Terça-feira,07,10.740
Terça-feira,08,14.248
Terça-feira,09,16.674
Terça-feira,10,18.357
Terça-feira,11,18.364
Terça-feira,12,17.779
Terça-feira,13,18.193
Terça-feira,14,18.411
Terça-feira,15,18.200
Terça-feira,16,18.133
Terça-feira,17,14.372
Terça-feira,18,13.065
Terça-feira,19,12.498
Terça-feira,20,11.759
Terça-feira,21,7.955
Terça-feira,22,5.836
Terça-feira,23,3.439
Quarta-feira,00,5.563
Quarta-feira,01,3.531
Quarta-feira,02,2.158
Quarta-feira,03,1.689
Quarta-feira,04,1.713
Quarta-feira,05,3.597
Quarta-feira,06,6.514
Quarta-feira,07,10.213
Quarta-feira,08,13.420
Quarta-feira,09,16.031
Quarta-feira,10,16.798
Quarta-feira,11,16.530
Quarta-feira,12,16.133
Quarta-feira,13,15.407
Quarta-feira,14,15.057
Quarta-feira,15,15.057
Quarta-feira,16,14.793
Quarta-feira,17,12.867
Quarta-feira,18,11.653
Quarta-feira,19,11.854
Quarta-feira,20,11.585
Quarta-feira,21,7.897
Quarta-feira,22,4.856
Quarta-feira,23,2.964
Quinta-feira,00,5.467
Quinta-feira,01,3.491
Quinta-feira,02,2.377
Quinta-feira,03,1.744
Quinta-feira,04,1.518
Quinta-feira,05,3.018
Quinta-feira,06,5.645
Quinta-feira,07,9.525
Quinta-feira,08,12.549
Quinta-feira,09,15.182
Quinta-feira,10,15.828
Quinta-feira,11,15.997
Quinta-feira,12,15.691
Quinta-feira,13,16.429
Quinta-feira,14,16.051
Quinta-feira,15,16.010
Quinta-feira,16,15.780
Quinta-feira,17,13.245
Quinta-feira,18,12.260
Quinta-feira,19,11.581
Quinta-feira,20,11.020
Quinta-feira,21,7.053
Quinta-feira,22,5.360
Quinta-feira,23,3.638
Sexta-feira,00,5.766
Sexta-feira,01,3.727
Sexta-feira,02,2.442
Sexta-feira,03,1.919
Sexta-feira,04,1.980
Sexta-feira,05,3.604
Sexta-feira,06,6.248
Sexta-feira,07,10.422
Sexta-feira,08,13.501
Sexta-feira,09,17.084
Sexta-feira,10,18.221
Sexta-feira,11,18.994
Sexta-feira,12,17.468
Sexta-feira,13,18.094
Sexta-feira,14,16.894
Sexta-feira,15,16.394
Sexta-feira,16,14.116
Sexta-feira,17,12.059
Sexta-feira,18,10.333
Sexta-feira,19,9.637
Sexta-feira,20,8.910
Sexta-feira,21,5.456
Sexta-feira,22,4.168
Sexta-feira,23,2.770
Sábado,00,9.631
Sábado,01,6.934
Sábado,02,4.571
Sábado,03,3.160
Sábado,04,2.636
Sábado,05,3.074
Sábado,06,5.349
Sábado,07,8.535
Sábado,08,11.959
Sábado,09,13.587
Sábado,10,14.455
Sábado,11,14.973
Sábado,12,13.297
Sábado,13,13.545
Sábado,14,13.788
Sábado,15,13.590
Sábado,16,13.178
Sábado,17,13.228
Sábado,18,11.274
Sábado,19,10.421
Sábado,20,10.351
Sábado,21,9.477
Sábado,22,6.155
Sábado,23,3.809
