Palavra-chave da rede de pesquisa,Tipo de corresp.,Status do critério,Status da campanha,Status do grupo de anúncios,Custo,Cliques,CTR
nutricionista online,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 95.037,94",31.865,"6,07%"
nutricionista online,Correspondência ampla,Ativado,Pausado,Ativado,"R$ 18.910,02",7.780,"6,47%"
personal,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 8.690,11",4.937,"10,21%"
treino para emagrecer,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 7.289,58",3.643,"7,36%"
nutricionista esportivo,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 10.539,52",3.491,"6,49%"
acompanhamento nutricional,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 10.189,86",3.327,"6,46%"
nutricionista online,Correspondência ampla,Ativado,Ativado,Pausado,"R$ 7.047,70",3.239,"7,97%"
nutricionista esportivo,Correspondência ampla,Ativado,Pausado,Ativado,"R$ 2.997,41",1.253,"6,26%"
[acompanhamento nutricional,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 5.025,42",1.210,"6,74%"
dieta para emagrecer,Correspondência ampla,Ativado,Ativado,Pausado,"R$ 1.531,95",1.145,"5,58%"
perder peso,Correspondência ampla,Ativado,Ativado,Pausado,"R$ 1.472,92",1.019,"7,38%"
perder culote,Correspondência ampla,Ativado,Ativado,Pausado,"R$ 1.203,24",1.004,"7,05%"
nutricionista esportivo,Correspondência ampla,Ativado,Ativado,Pausado,"R$ 1.687,49",916,"6,63%"
acompanhamento nutricional,Correspondência ampla,Ativado,Pausado,Ativado,"R$ 2.414,51",909,"7,54%"
nutricionista esportivo bradesco saude,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 1.918,32",691,"6,34%"
emagrecer,Correspondência ampla,Ativado,Pausado,Ativado,"R$ 303,33",619,"1,36%"
acompanhamento nutricional,Correspondência ampla,Ativado,Ativado,Pausado,"R$ 928,12",533,"6,11%"
consultoria fitness,Correspondência ampla,Ativado,Ativado,Pausado,"R$ 978,63",502,"7,17%"
consultoria online nutricionista,Correspondência ampla,Ativado,Pausado,Ativado,"R$ 845,77",494,"5,95%"
treino para definir corpo,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 760,33",488,"7,19%"
consulta nutricional online,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 1.045,61",458,"5,42%"
exercícios para ganhar massa muscular,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 800,13",426,"5,99%"
Mounjaro,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 1.221,34",369,"8,42%"
treino para perder barriga,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 607,73",345,"7,78%"
dieta para hipertrofia,Correspondência ampla,Ativado,Ativado,Pausado,"R$ 384,85",310,"5,71%"
treino para ganhar massa,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 329,92",246,"5,97%"
treino para hipertrofia,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 347,82",238,"5,58%"
nutricionista bradesco,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 728,79",211,"5,31%"
alimentação para ganhar massa muscular,Correspondência ampla,Ativado,Ativado,Pausado,"R$ 233,21",164,"5,54%"
Emagrecimento,Correspondência ampla,Ativado,Ativado,Pausado,"R$ 287,79",162,"7,73%"
acompanhamento nutricionista,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 339,27",151,"5,66%"
nutricionista fabricio Moura,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 426,92",131,"13,45%"
nutricionista esportivo online,Correspondência ampla,Ativado,Ativado,Pausado,"R$ 253,34",112,"7,67%"
nutricionista amil,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 324,08",112,"13,61%"
fabricio moura,Corresp. exata,Ativado,Ativado,Ativado,"R$ 285,23",83,"8,57%"
perde peso,Correspondência ampla,Ativado,Pausado,Ativado,"R$ 29,15",78,"1,99%"
emagrecimento,Correspondência ampla,Ativado,Pausado,Ativado,"R$ 23,62",73,"1,37%"
dieta para perder peso rápido,Correspondência ampla,Ativado,Ativado,Pausado,"R$ 79,53",67,"4,63%"
nutricionista sulamerica,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 207,36",65,"12,65%"
perder gordura localizada,Correspondência ampla,Ativado,Ativado,Pausado,"R$ 110,57",64,"8,95%"
perder barriga,Correspondência ampla,Ativado,Pausado,Ativado,"R$ 20,95",60,"1,21%"
exercícios para massa muscular,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 90,80",53,"6,47%"
dieta para definição muscular,Correspondência ampla,Ativado,Ativado,Pausado,"R$ 97,59",51,"8,84%"
perder gordura,Correspondência ampla,Ativado,Pausado,Ativado,"R$ 13,54",39,"1,25%"
fabricio moura nutricionista,Corresp. exata,Ativado,Ativado,Ativado,"R$ 100,91",38,"15,20%"
nutricionista online,Corresp. exata,Ativado,Ativado,Ativado,"R$ 222,49",32,"14,16%"
nutricionistas online,Correspondência ampla,Pausado,Ativado,Ativado,"R$ 52,25",26,"6,37%"
gordura localizada,Correspondência ampla,Ativado,Pausado,Ativado,"R$ 11,55",23,"0,90%"
nutricionista de emagrecimento,Correspondência ampla,Pausado,Ativado,Ativado,"R$ 37,45",20,"5,51%"
ganhar massa magra,Correspondência ampla,Ativado,Pausado,Ativado,"R$ 9,57",18,"0,81%"
