Semana,Cliques,CTR,Taxa de conv.,Custo / conv.
Semana de 29 de dez. de 2025,725,"4,56%","13,39%","R$ 9,64"
Semana de 5 de jan. de 2026,2.273,"6,00%","12,22%","R$ 12,83"
Semana de 12 de jan. de 2026,2.064,"6,89%","14,34%","R$ 12,37"
Semana de 19 de jan. de 2026,2.029,"5,74%","12,52%","R$ 14,62"
Semana de 26 de jan. de 2026,3.775,"3,80%","10,27%","R$ 18,46"
Semana de 2 de fev. de 2026,3.943,"4,39%","10,77%","R$ 19,30"
Semana de 9 de fev. de 2026,3.075,"5,70%","12,08%","R$ 17,60"
Semana de 16 de fev. de 2026,2.687,"6,13%","12,73%","R$ 17,10"
Semana de 23 de fev. de 2026,2.955,"5,94%","12,93%","R$ 17,61"
Semana de 2 de mar. de 2026,2.440,"5,53%","13,96%","R$ 16,79"
Semana de 9 de mar. de 2026,2.212,"5,46%","13,83%","R$ 15,35"
Semana de 16 de mar. de 2026,3.052,"5,32%","11,95%","R$ 16,51"
Semana de 23 de mar. de 2026,3.594,"4,78%","12,10%","R$ 16,98"
Semana de 30 de mar. de 2026,3.411,"4,85%","14,11%","R$ 15,24"
Semana de 6 de abr. de 2026,3.573,"5,15%","14,41%","R$ 15,80"
Semana de 13 de abr. de 2026,3.204,"5,28%","14,78%","R$ 15,27"
Semana de 20 de abr. de 2026,2.671,"5,71%","14,53%","R$ 14,56"
Semana de 27 de abr. de 2026,2.704,"5,75%","14,83%","R$ 13,66"
Semana de 4 de mai. de 2026,3.850,"4,79%","14,47%","R$ 17,96"
Semana de 11 de mai. de 2026,3.272,"4,83%","13,51%","R$ 18,87"
Semana de 18 de mai. de 2026,3.135,"5,86%","13,72%","R$ 18,80"
Semana de 25 de mai. de 2026,2.307,"5,18%","14,44%","R$ 15,16"
Semana de 1 de jun. de 2026,3.362,"3,47%","1,99%","R$ 21,47"
Semana de 8 de jun. de 2026,3.980,"3,69%","1,91%","R$ 21,76"
Semana de 15 de jun. de 2026,3.264,"5,16%","8,54%","R$ 21,66"
Semana de 22 de jun. de 2026,2.459,"5,12%","12,14%","R$ 18,07"
Semana de 29 de jun. de 2026,2.740,"5,30%","9,88%","R$ 18,99"
Semana de 6 de jul. de 2026,1.835,"4,87%","13,67%","R$ 18,69"
Semana de 13 de jul. de 2026,1.856,"4,76%","14,91%","R$ 17,56"
Semana de 20 de jul. de 2026,2.074,"4,97%","14,03%","R$ 20,44"
Semana de 27 de jul. de 2026,2.637,"5,47%","12,35%","R$ 28,14"
Semana de 3 de ago. de 2026,558,"5,64%","17,21%","R$ 17,66"
